raceId,resultId,driverId,constructorId,year,round,name_mer3,nationality,circuitRef,driverRef,constructorRef,country,alt,date,dob,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy,grid,race_finish_pos,points_awarded,points_driver,championship_pos,cum_wins,status,driver_age,home_race,points_before_race,wins,predicted_win
1052,24966,1,131,2021,1,Bahrain Grand Prix,British,bahrain,hamilton,mercedes,Bahrain,7,2021-03-28,1985-01-07,1,0,0,0,0,2,1,25.0,25.0,1.0,1.0,Finished,36.2,0,0.0,1,1
1052,24967,830,9,2021,1,Bahrain Grand Prix,Dutch,bahrain,max_verstappen,red_bull,Bahrain,7,2021-03-28,1997-09-30,1,0,0,0,0,1,2,18.0,18.0,2.0,0.0,Finished,23.5,0,0.0,0,0
1052,24968,822,131,2021,1,Bahrain Grand Prix,Finnish,bahrain,bottas,mercedes,Bahrain,7,2021-03-28,1989-08-28,1,0,0,0,0,3,3,16.0,16.0,3.0,0.0,Finished,31.6,0,0.0,0,0
1052,24969,846,1,2021,1,Bahrain Grand Prix,British,bahrain,norris,mclaren,Bahrain,7,2021-03-28,1999-11-13,1,0,0,0,0,7,4,12.0,12.0,4.0,0.0,Finished,21.4,0,0.0,0,0
1052,24970,815,9,2021,1,Bahrain Grand Prix,Mexican,bahrain,perez,red_bull,Bahrain,7,2021-03-28,1990-01-26,1,0,0,0,0,0,5,10.0,10.0,5.0,0.0,Finished,31.2,0,0.0,0,0
1052,24971,844,6,2021,1,Bahrain Grand Prix,Monegasque,bahrain,leclerc,ferrari,Bahrain,7,2021-03-28,1997-10-16,1,0,0,0,0,4,6,8.0,8.0,6.0,0.0,Finished,23.4,0,0.0,0,0
1052,24972,817,1,2021,1,Bahrain Grand Prix,Australian,bahrain,ricciardo,mclaren,Bahrain,7,2021-03-28,1989-07-01,1,0,0,0,0,6,7,6.0,6.0,7.0,0.0,Finished,31.7,0,0.0,0,0
1052,24973,832,6,2021,1,Bahrain Grand Prix,Spanish,bahrain,sainz,ferrari,Bahrain,7,2021-03-28,1994-09-01,1,0,0,0,0,8,8,4.0,4.0,8.0,0.0,Finished,26.6,0,0.0,0,0
1052,24974,852,213,2021,1,Bahrain Grand Prix,Japanese,bahrain,tsunoda,alphatauri,Bahrain,7,2021-03-28,2000-05-11,1,0,0,0,0,13,9,2.0,2.0,9.0,0.0,Finished,20.9,0,0.0,0,0
1052,24975,840,117,2021,1,Bahrain Grand Prix,Canadian,bahrain,stroll,aston_martin,Bahrain,7,2021-03-28,1998-10-29,1,0,0,0,0,10,10,1.0,1.0,10.0,0.0,Finished,22.4,0,0.0,0,0
1052,24976,8,51,2021,1,Bahrain Grand Prix,Finnish,bahrain,raikkonen,alfa,Bahrain,7,2021-03-28,1979-10-17,1,0,0,0,0,14,11,0.0,0.0,11.0,0.0,Finished,41.4,0,0.0,0,0
1052,24977,841,51,2021,1,Bahrain Grand Prix,Italian,bahrain,giovinazzi,alfa,Bahrain,7,2021-03-28,1993-12-14,1,0,0,0,0,12,12,0.0,0.0,12.0,0.0,Finished,27.3,0,0.0,0,0
1052,24978,839,214,2021,1,Bahrain Grand Prix,French,bahrain,ocon,alpine,Bahrain,7,2021-03-28,1996-09-17,1,0,0,0,0,16,13,0.0,0.0,13.0,0.0,Finished,24.5,0,0.0,0,0
1052,24979,847,3,2021,1,Bahrain Grand Prix,British,bahrain,russell,williams,Bahrain,7,2021-03-28,1998-02-15,1,0,0,0,0,15,14,0.0,0.0,14.0,0.0,Finished,23.1,0,0.0,0,0
1052,24980,20,117,2021,1,Bahrain Grand Prix,German,bahrain,vettel,aston_martin,Bahrain,7,2021-03-28,1987-07-03,1,0,0,0,0,20,15,0.0,0.0,15.0,0.0,Finished,33.7,0,0.0,0,0
1052,24981,854,210,2021,1,Bahrain Grand Prix,German,bahrain,mick_schumacher,haas,Bahrain,7,2021-03-28,1999-03-22,1,0,0,0,0,18,16,0.0,0.0,16.0,0.0,Finished,22.0,0,0.0,0,0
1052,24982,842,213,2021,1,Bahrain Grand Prix,French,bahrain,gasly,alphatauri,Bahrain,7,2021-03-28,1996-02-07,1,0,0,0,0,5,17,0.0,0.0,17.0,0.0,Retired,25.1,0,0.0,0,0
1052,24983,849,3,2021,1,Bahrain Grand Prix,Canadian,bahrain,latifi,williams,Bahrain,7,2021-03-28,1995-06-29,1,0,0,0,0,17,18,0.0,0.0,18.0,0.0,Retired,25.7,0,0.0,0,0
1052,24984,4,214,2021,1,Bahrain Grand Prix,Spanish,bahrain,alonso,alpine,Bahrain,7,2021-03-28,1981-07-29,1,0,0,0,0,9,0,0.0,0.0,19.0,0.0,Brakes,39.7,0,0.0,0,0
1052,24985,853,210,2021,1,Bahrain Grand Prix,Russian,bahrain,mazepin,haas,Bahrain,7,2021-03-28,1999-03-02,1,0,0,0,0,19,0,0.0,0.0,20.0,0.0,Accident,22.1,0,0.0,0,0
1053,24986,830,9,2021,2,Emilia Romagna Grand Prix,Dutch,imola,max_verstappen,red_bull,Italy,37,2021-04-18,1997-09-30,0,0,1,1,0,3,1,25.0,43.0,2.0,1.0,Finished,23.5,0,18.0,1,0
1053,24987,1,131,2021,2,Emilia Romagna Grand Prix,British,imola,hamilton,mercedes,Italy,37,2021-04-18,1985-01-07,0,0,1,1,0,1,2,19.0,44.0,1.0,1.0,Finished,36.3,0,25.0,0,1
