raceId,resultId,driverId,constructorId,year,round,name_mer3,nationality,circuitRef,driverRef,constructorRef,country,date,dob,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy,grid,race_finish_pos,points_awarded,points_driver,championship_pos,cum_wins,status,driver_age,home_race,points_before_race,wins,in_top_ten,in_top_three
141,2557,30,6,2001,1,Australian Grand Prix,German,albert_park,michael_schumacher,ferrari,Australia,2001-03-04,1969-01-03,1,0,0,0,1,1,1,10.0,10.0,1.0,1.0,Finished,32.2,0,0.0,1,1,1
141,2558,14,1,2001,1,Australian Grand Prix,British,albert_park,coulthard,mclaren,Australia,2001-03-04,1971-03-27,1,0,0,0,1,6,2,6.0,6.0,2.0,0.0,Finished,29.9,0,0.0,0,1,1
141,2559,22,6,2001,1,Australian Grand Prix,Brazilian,albert_park,barrichello,ferrari,Australia,2001-03-04,1972-05-23,1,0,0,0,1,2,3,4.0,4.0,3.0,0.0,Finished,28.8,0,0.0,0,1,1
141,2560,2,15,2001,1,Australian Grand Prix,German,albert_park,heidfeld,sauber,Australia,2001-03-04,1977-05-10,1,0,0,0,1,10,4,3.0,3.0,4.0,0.0,Finished,23.8,0,0.0,0,1,0
141,2561,49,17,2001,1,Australian Grand Prix,German,albert_park,frentzen,jordan,Australia,2001-03-04,1967-05-18,1,0,0,0,1,4,5,2.0,2.0,5.0,0.0,Finished,33.8,0,0.0,0,1,0
141,2562,8,15,2001,1,Australian Grand Prix,Finnish,albert_park,raikkonen,sauber,Australia,2001-03-04,1979-10-17,1,0,0,0,1,13,6,1.0,1.0,6.0,0.0,Finished,21.4,0,0.0,0,1,0
141,2563,44,16,2001,1,Australian Grand Prix,French,albert_park,panis,bar,Australia,2001-03-04,1966-09-02,1,0,0,0,1,9,7,0.0,0.0,7.0,0.0,Finished,34.5,0,0.0,0,1,0
141,2564,54,19,2001,1,Australian Grand Prix,Brazilian,albert_park,burti,jaguar,Australia,2001-03-04,1975-03-05,1,0,0,0,1,21,8,0.0,0.0,8.0,0.0,Finished,26.0,0,0.0,0,1,0
141,2565,55,20,2001,1,Australian Grand Prix,French,albert_park,alesi,prost,Australia,2001-03-04,1964-06-11,1,0,0,0,1,14,9,0.0,0.0,9.0,0.0,Finished,36.7,0,0.0,0,1,0
141,2566,50,21,2001,1,Australian Grand Prix,Dutch,albert_park,verstappen,arrows,Australia,2001-03-04,1972-03-04,1,0,0,0,1,15,10,0.0,0.0,10.0,0.0,Finished,29.0,0,0.0,0,1,0
141,2567,56,19,2001,1,Australian Grand Prix,British,albert_park,irvine,jaguar,Australia,2001-03-04,1965-11-10,1,0,0,0,1,12,11,0.0,0.0,11.0,0.0,Finished,35.3,0,0.0,0,0,0
141,2568,4,18,2001,1,Australian Grand Prix,Spanish,albert_park,alonso,minardi,Australia,2001-03-04,1981-07-29,1,0,0,0,1,19,12,0.0,0.0,12.0,0.0,Finished,19.6,0,0.0,0,0,0
141,2569,21,22,2001,1,Australian Grand Prix,Italian,albert_park,fisichella,benetton,Australia,2001-03-04,1973-01-14,1,0,0,0,1,17,13,0.0,0.0,13.0,0.0,Finished,28.1,0,0.0,0,0,0
141,2570,18,22,2001,1,Australian Grand Prix,British,albert_park,button,benetton,Australia,2001-03-04,1980-01-19,1,0,0,0,1,16,0,0.0,0.0,0.0,0.0,Electrical,21.1,0,0.0,0,0,0
141,2571,31,3,2001,1,Australian Grand Prix,Colombian,albert_park,montoya,williams,Australia,2001-03-04,1975-09-20,1,0,0,0,1,11,0,0.0,0.0,0.0,0.0,Engine,25.5,0,0.0,0,0,0
141,2572,15,17,2001,1,Australian Grand Prix,Italian,albert_park,trulli,jordan,Australia,2001-03-04,1974-07-13,1,0,0,0,1,7,0,0.0,0.0,0.0,0.0,Engine,26.6,0,0.0,0,0,0
141,2573,57,1,2001,1,Australian Grand Prix,Finnish,albert_park,hakkinen,mclaren,Australia,2001-03-04,1968-09-28,1,0,0,0,1,3,0,0.0,0.0,0.0,0.0,Suspension,32.4,0,0.0,0,0,0
141,2574,23,3,2001,1,Australian Grand Prix,German,albert_park,ralf_schumacher,williams,Australia,2001-03-04,1975-06-30,1,0,0,0,1,5,0,0.0,0.0,0.0,0.0,Collision,25.7,0,0.0,0,0,0
141,2575,35,16,2001,1,Australian Grand Prix,Canadian,albert_park,villeneuve,bar,Australia,2001-03-04,1971-04-09,1,0,0,0,1,8,0,0.0,0.0,0.0,0.0,Collision,29.9,0,0.0,0,0,0
141,2576,58,18,2001,1,Australian Grand Prix,Brazilian,albert_park,marques,minardi,Australia,2001-03-04,1976-01-19,1,0,0,0,1,22,0,0.0,0.0,0.0,0.0,Battery,25.1,0,0.0,0,0,0
141,2577,59,21,2001,1,Australian Grand Prix,Brazilian,albert_park,bernoldi,arrows,Australia,2001-03-04,1978-10-19,1,0,0,0,1,18,0,0.0,0.0,0.0,0.0,Spun off,22.4,0,0.0,0,0,0
141,2578,60,20,2001,1,Australian Grand Prix,Argentine,albert_park,mazzacane,prost,Australia,2001-03-04,1975-05-08,1,0,0,0,1,20,0,0.0,0.0,0.0,0.0,Brakes,25.8,0,0.0,0,0,0
